learning_rate,gamma,n_steps,ent_coef,vf_coef,run,mean_eval_reward,final_train_reward_mean20,convergence_episode,train_time_sec
0.0007,0.99,5,0.0,0.5,0,10.212499999999997,9.345,218,14.82
0.0001,0.99,5,0.0,0.5,1,6.2675,4.4975000000000005,244,15.39
0.001,0.99,5,0.0,0.5,2,10.287499999999998,9.457500000000001,194,14.92
0.0007,0.95,5,0.0,0.5,3,8.507499999999999,7.9625,180,15.13
0.0007,0.999,5,0.0,0.5,4,9.4375,8.38,215,15.89
0.0007,0.99,8,0.0,0.5,5,8.9425,8.8825,293,28.0
0.0007,0.99,20,0.0,0.5,6,6.777499999999999,8.025,289,10.5
0.0007,0.99,5,0.01,0.5,7,9.504999999999999,9.370000000000001,150,15.33
0.0007,0.99,5,0.05,0.5,8,9.5975,9.0525,307,15.48
0.0007,0.99,5,0.0,0.25,9,10.809999999999999,9.9725,281,15.29
0.0007,0.99,5,0.0,0.9,10,8.945000000000002,9.287500000000003,301,15.09
0.0007,0.98,10,0.02,0.5,11,9.2925,7.580000000000001,211,11.79
