algorithm,risk_tier,n_entities,FULL_REDACT,PARTIAL_MASK,SUBSTITUTE,NO_REDACT
DQN,low,357,0.0,0.0,0.0,1.0
DQN,mid,351,0.037037037037037035,0.9316239316239316,0.008547008547008548,0.022792022792022793
DQN,high,301,0.6079734219269103,0.0033222591362126247,0.38870431893687707,0.0
PPO,low,357,0.0,0.01680672268907563,0.0,0.9831932773109243
PPO,mid,351,0.1111111111111111,0.8205128205128205,0.002849002849002849,0.06552706552706553
PPO,high,301,0.9235880398671097,0.07641196013289037,0.0,0.0
A2C,low,357,0.0,0.0,0.0,1.0
A2C,mid,351,0.0,0.8062678062678063,0.14245014245014245,0.05128205128205128
A2C,high,301,0.0,0.0,1.0,0.0
REINFORCE,low,357,0.0,0.0196078431372549,0.0,0.9803921568627451
REINFORCE,mid,351,0.0,0.905982905982906,0.0,0.09401709401709402
REINFORCE,high,301,0.6744186046511628,0.32558139534883723,0.0,0.0
