learning_rate,gamma,buffer_size,batch_size,exploration_fraction,target_update_interval,run,mean_eval_reward,final_train_reward_mean20,convergence_episode,train_time_sec
0.001,0.99,5000,32,0.3,250,0,9.8525,9.745,178,8.71
0.0001,0.99,5000,32,0.3,250,1,6.7425,5.9174999999999995,407,10.72
0.0005,0.95,5000,64,0.3,250,2,11.2925,9.7925,190,10.0
0.0005,0.999,5000,64,0.3,250,3,11.0975,10.0625,197,8.85
0.0005,0.99,1000,32,0.3,250,4,10.0325,9.715000000000002,199,10.12
0.0005,0.99,20000,32,0.3,250,5,9.107500000000002,10.5625,228,17.0
0.0005,0.99,5000,128,0.3,250,6,9.7325,11.275,206,10.53
0.0005,0.99,5000,32,0.1,250,7,10.584999999999999,10.425,144,8.88
0.0005,0.99,5000,32,0.6,250,8,10.622499999999999,10.267500000000002,378,9.66
0.0005,0.99,5000,32,0.3,50,9,10.41,10.3375,277,10.08
0.0005,0.99,5000,32,0.3,1000,10,8.95,10.182500000000001,199,8.71
0.001,0.98,10000,64,0.2,500,11,9.702499999999999,9.260000000000002,123,10.24
