learning_rate,gamma,n_steps,batch_size,clip_range,ent_coef,gae_lambda,run,mean_eval_reward,final_train_reward_mean20,convergence_episode,train_time_sec
0.0003,0.99,128,32,0.2,0.0,0.95,0,9.627500000000001,8.809999999999999,209,18.22
0.0001,0.99,128,32,0.2,0.0,0.95,1,8.3775,7.457500000000001,412,18.06
0.001,0.99,128,32,0.2,0.0,0.95,2,11.117500000000001,9.7875,141,18.15
0.0003,0.95,128,32,0.2,0.0,0.95,3,10.727500000000001,9.1475,197,18.33
0.0003,0.999,128,32,0.2,0.0,0.95,4,9.817499999999999,7.6,203,17.72
0.0003,0.99,64,32,0.2,0.0,0.95,5,8.782499999999999,9.057500000000001,241,17.54
0.0003,0.99,256,64,0.2,0.0,0.95,6,7.637499999999998,7.8125,270,13.51
0.0003,0.99,128,32,0.1,0.0,0.95,7,8.790000000000001,7.937500000000002,205,18.06
0.0003,0.99,128,32,0.3,0.0,0.95,8,9.032500000000002,8.522499999999999,307,19.04
0.0003,0.99,128,32,0.2,0.01,0.95,9,10.504999999999999,9.335,288,18.77
0.0003,0.99,128,32,0.2,0.05,0.95,10,9.155,8.7175,300,18.02
0.0003,0.99,128,32,0.2,0.0,0.8,11,9.587499999999999,7.8625,175,17.68
