learning_rate,gamma,use_baseline,hidden,run,mean_eval_reward,final_train_reward_mean20,convergence_episode,train_time_sec
0.001,0.99,True,64,0,9.0775,8.544999999999998,356,13.72
0.0001,0.99,True,64,1,4.8774999999999995,3.5474999999999994,25,14.93
0.0005,0.95,True,64,2,7.1825,6.0575,542,13.41
0.0005,0.999,True,64,3,8.562499999999998,6.2625,286,13.41
0.0005,0.99,False,64,4,4.6225000000000005,4.45,96,9.74
0.0005,0.99,True,32,5,6.8325000000000005,6.465000000000001,699,12.88
0.0005,0.99,True,128,6,6.927499999999999,7.115,328,13.86
0.001,0.95,False,32,7,7.820000000000002,6.6225,567,10.19
0.001,0.999,True,128,8,8.052499999999998,9.212500000000002,348,13.96
0.0002,0.97,True,64,9,4.770000000000001,3.7475,28,13.61
0.0005,0.9,True,64,10,7.885,7.590000000000001,334,13.6
0.001,0.99,True,128,11,4.5825000000000005,5.24,48,13.74
